cam,frame,image_name,direction,component_id,area,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,near_point_count,near_score_sum,min_center_dist,top_point_ids,top_point_scores
21,0,c21_f000000,inner,9,291,353,280,13,56,359.10996563573883,307.8213058419244,1607,297.51837158203125,0.0,22336;19326;13818;16983;3355;175;6384;7895,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
21,0,c21_f000000,inner,12,421,364,354,13,91,371.28503562945366,393.14251781472683,1236,148.166015625,0.0,14668;46744;31217;32734;17854;2893;17906;17774,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.997567
21,0,c21_f000000,inner,2,150,331,149,16,32,340.6666666666667,163.59333333333333,1102,270.0156555175781,0.0,20573;18997;9837;18556;6184;5088;7258;9700,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
21,0,c21_f000000,inner,5,114,329,216,17,20,336.2719298245614,224.28070175438597,1012,190.57777404785156,0.0,42774;28446;42642;27703;2220;4053;18505;35231,1.000000;1.000000;0.999926;0.998520;0.957760;0.946944;0.946944;0.946944
21,0,c21_f000000,outer,1,3542,266,143,55,394,291.84697910784865,313.34923771880295,5554,1198.7991943359375,0.0,11855;11816;9152;9166;930;36;3423;3539,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
21,0,c21_f000000,outer,12,938,341,473,33,112,354.4275053304904,525.6226012793177,1241,136.6427001953125,0.0,46761;43198;35120;32194;25732;14548;15774;14313,1.000000;1.000000;1.000000;1.000000;0.983615;0.977686;0.975201;0.951148
21,0,c21_f000000,outer,15,244,311,588,23,31,318.7909836065574,607.9303278688525,954,344.30474853515625,0.0,11830;11273;10938;10957;6722;4352;9684;10893,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
21,0,c21_f000000,outer,13,251,299,542,12,45,304.6812749003984,567.7888446215139,733,168.42430114746094,0.0,7904;28283;23546;25588;13439;7385;14086;19783,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
21,60,c21_f000060,inner,13,476,354,367,35,86,372.3802521008403,410.17857142857144,991,135.98048400878906,0.0,2893;38940;21055;46765;29959;10259;45783;11705,1.000000;1.000000;1.000000;1.000000;1.000000;0.990189;0.990189;0.988324
21,60,c21_f000060,inner,12,523,356,340,89,21,406.83173996175907,353.67686424474186,692,119.49532318115234,0.0,19776;16483;12823;7265;26209;14633;16408;24261,1.000000;0.990189;0.990185;0.985385;0.976439;0.946944;0.946944;0.946944
